Locality	Latitude	Longitude	Country	State_Province	County
1	Tecate, 3.4 mi S of El Condor	32.41751	-116.16666	MEXICO	Baja California Norte	None or Unknown
2	22 km W of Parque Sierra San Pedro Martir	30.96	-115.85	MEXICO	Baja California Norte	None or Unknown
7	38 km E of Rt 1 toward Parque San Pedro Martir	30.96	-115.82	MEXICO	Baja California Norte	None or Unknown
26	Ensenada	31.86667	-116.61667	MEXICO	Baja California Norte	None or Unknown
37	Valle de la Trinidad	NA	NA	MEXICO	Baja California Norte	Ensenada Municipality
42	6.3 mi S of El Condor, Tecate	32.40423	-116.10917	MEXICO	Baja California Norte	None or Unknown
43	Catavina	29.8667	-114.95	MEXICO	Baja California Norte	None or Unknown
46	45 km N of Catavina on Hwy 1	29.96291	-115.09838	MEXICO	Baja California Norte	Ensenada Municipality
83	25 km W of San Pedro Martir Observatory	30.9778	-115.60278	MEXICO	Baja California Norte	Ensenada Municipality
87	3.5 mi W of Parque Sierra San Pedro Martir	30.98	-115.7	MEXICO	Baja California Norte	None or Unknown
90	Catavi̱a	NA	NA	MEXICO	Baja California Norte	Ensenada Municipality
91	53 km W of Punta Prieta toward Bahia de los Angeles	28.97187	-113.73793	MEXICO	Baja California Norte	None or Unknown
157	Tecate, 0.3 mi E of El Condor	32.46666	-116.16152	MEXICO	Baja California Norte	None or Unknown
160	5 km N of Bahia de los Angeles	28.99509	-113.55	MEXICO	Baja California Norte	None or Unknown
161	51 km W of Bahia de los Angeles	28.94	-114.07	MEXICO	Baja California Norte	None or Unknown
188	7 km W of Parque Sierra San Pedro Martir	30.97	-115.68	MEXICO	Baja California Norte	None or Unknown
243	12 mi E of El Rosario	30.1532	-115.53903	MEXICO	Baja California Norte	None or Unknown
262	Tecate, 0.3 mi S of El Condor	32.46666	-116.16152	MEXICO	Baja California Norte	None or Unknown
265	20 mi. W. San Jose de Caba	NA	NA	MEXICO	Baja California Norte	None or Unknown
269	3.2 km S of San Quintin	30.53127	-115.93368	MEXICO	Baja California Norte	None or Unknown
284	Villa Juarez	NA	NA	MEXICO	Baja California Norte	None or Unknown
285	San Martin Island	NA	NA	MEXICO	Baja California Norte	None or Unknown
290	9.2 km W of Bahia de Los Angeles	28.97266	-113.63212	MEXICO	Baja California Norte	None or Unknown
308	San Lorenzo Island	NA	NA	MEXICO	Baja California Norte	None or Unknown
335	66 km E of Hwy 1 to San Pedro Martir	30.9653	-115.6068	MEXICO	Baja California Norte	Ensenada Municipality
345	N of San Pedro Martir	31.1794	-115.607	MEXICO	Baja California Norte	Ensenada Municipality
